country,ID,TotalCases,TotalDeaths,TotalCases1M,TotalDeaths1M,TotalTests,TotalTests1M,Population,Continent,1CaseEvery,1DeathEvery,1TestEvery,AccessElectricity,GDP,GDPperCap,LifeExpect,DrsPer1k,NewInfecHIV,FertilityRate,UrbanPopulation,UrbanPopulationPerc,Latitude,Longitude
Panama,38,129200.0,2633.0,29796.0,607.0,627775.0,144777.0,4336139.0,North America,34.0,1647.0,7.0,100.0,65128200000.0,15592.573678922,78.329,1.9357,1050.0,2.461,2828119.0,65.22205584276703,8.559559,-81.1308434
Dominican Republic,40,124527.0,2223.0,11443.0,204.0,567976.0,52192.0,10882408.0,North America,87.0,4895.0,19.0,100.0,85555378042.8196,8050.63044027449,73.892,1.9357,2600.0,2.346,8615868.0,79.172440511328,19.0974031,-70.3028026
Kuwait,41,121635.0,746.0,28350.0,174.0,876250.0,204232.0,4290470.0,Asia,35.0,5751.0,5.0,100.0,140645364238.411,33994.3819171507,75.398,0.9186,1050.0,2.082,4137312.0,96.4302745386869,29.2733964,47.4979476
Portugal,42,118686.0,2316.0,11651.0,227.0,3156991.0,309900.0,10187123.0,Europe,86.0,4399.0,3.0,100.0,241274628877.362,23461.5718628115,81.3243902439024,3.4075,500.0,1.42,6706183.0,65.82999930402332,40.0332629,-7.8896263
Oman,43,112932.0,1174.0,21942.0,228.0,376700.0,73189.0,5146925.0,Asia,46.0,4384.0,14.0,100.0,79275422626.788,16414.8880173692,77.633,2.0031,200.0,2.888,4082797.0,79.32497559222254,21.0000287,57.0036901
Sweden,44,110594.0,5933.0,10929.0,586.0,2074744.0,205028.0,10119336.0,Europe,91.0,1706.0,5.0,100.0,555455371487.089,54589.0603860606,82.5585365853659,3.4075,500.0,1.76,8896291.0,87.91378209005018,59.6749712,14.5208584
Kazakhstan,45,110402.0,1796.0,5858.0,95.0,3309626.0,175598.0,18847747.0,Asia,171.0,10494.0,6.0,100.0,179339994859.384,9812.60140498928,73.15,0.9186,3200.0,2.84,10495828.0,55.687441050646534,47.2286086,65.2093197
Guatemala,47,104787.0,3644.0,5815.0,202.0,410048.0,22756.0,18019440.0,North America,172.0,4945.0,44.0,94.6954650878906,73118147808.2775,4472.89236269013,74.063,0.3549,1100.0,2.87,8345772.0,46.31537939025852,15.6356088,-89.8988087
Switzerland,48,103653.0,2083.0,11949.0,240.0,1726438.0,199018.0,8674766.0,Europe,84.0,4165.0,5.0,100.0,705140620046.7,82818.1081617471,83.7536585365854,3.4075,500.0,1.52,6283319.0,72.43214399097336,46.7985624,8.2319736
Costa Rica,49,103088.0,1282.0,20178.0,251.0,296363.0,58009.0,5108888.0,North America,50.0,3985.0,17.0,100.0,60553901420.085,12112.1344206452,80.095,2.8939,1000.0,1.754,3966556.0,77.64030058987396,10.2735633,-84.0739102
Japan,50,96534.0,1711.0,764.0,14.0,2573495.0,20368.0,126351602.0,Asia,1309.0,73847.0,49.0,100.0,4954806619995.19,39159.4235633952,84.2109756097561,0.9186,1050.0,1.42,115920900.0,91.74470142452171,36.5748441,139.2394179
Ethiopia,51,93343.0,1426.0,806.0,12.0,1444542.0,12469.0,115848055.0,Africa,1241.0,81240.0,80.0,44.9799575805664,84269348327.3454,771.523813864476,66.24,0.0769,11000.0,4.247,22678295.0,19.575896203004877,10.2116702,38.6521203
Belarus,52,92823.0,957.0,9824.0,101.0,2372445.0,251097.0,9448324.0,Europe,102.0,9873.0,4.0,100.0,60031262269.3365,6330.0752464187,74.1756097560976,3.4075,1800.0,1.448,7453556.0,78.8875995361717,53.4250605,27.6971358
Honduras,53,92724.0,2617.0,9315.0,263.0,220422.0,22144.0,9954162.0,North America,107.0,3804.0,45.0,91.88720703125,24024189735.8876,2505.7767518956,75.088,1.9357,1000.0,2.46,5474092.0,54.992996899186494,15.2572432,-86.0755145
Austria,55,80811.0,979.0,8956.0,109.0,2088359.0,231454.0,9022788.0,Europe,112.0,9216.0,4.0,100.0,455508255028.219,51525.0464342791,81.6926829268293,3.4075,500.0,1.47,5153759.0,57.11936266262712,47.2000338,13.199959
